Distribuição dos casos notificados e confirmados (autóctones e importados ) de dengue segundo município de residência, por mês de início de sintomas,ESP, 2025;;;;;;;;;;;;;;;;;;;
;;;;;;;Janeiro ;;;Fevereiro;;;Março;;;total;;;
DRS;DRS NOME;GVE;GVE NOME;COD_RS_2024;NOME_RS_2024;MUN-RES;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;
;;;;;;;;;;;;;;;;;;;
10;PIRACICABA;20;PIRACICABA;35101;ARARAS;351220 Conchal;120;25;0;286;81;1;652;249;4;1.058;355;5;
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;351230 Conchas;1.154;663;0;1.946;1.079;8;1.133;483;4;4.233;2.225;12;
10;PIRACICABA;20;PIRACICABA;35102;LIMEIRA;351240 Cordeirópolis;224;129;0;555;243;1;312;238;1;1.091;610;2;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;351250 Coroados;521;269;2;203;63;0;82;16;0;806;348;2;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;351260 Coronel Macedo;8;2;0;28;5;0;24;3;0;60;10;0;
10;PIRACICABA;20;PIRACICABA;35104;RIO CLARO;351270 Corumbataí;11;0;0;16;5;0;49;9;1;76;14;1;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;351280 Cosmópolis;242;44;0;472;89;4;838;263;16;1.552;396;20;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;351290 Cosmorama;221;74;5;130;61;0;87;31;1;438;166;6;
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;351300 Cotia;251;23;4;580;65;0;1.586;333;6;2.417;421;10;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35132;AQUÍFERO GUARANI;351310 Cravinhos;185;89;0;210;81;0;273;140;0;668;310;0;
8;FRANCA;18;FRANCA;35081;TRÊS COLINAS;351320 Cristais Paulista;9;1;0;23;5;0;22;7;0;54;13;0;
