DRS;DRS_1;GVE;_1;Região de Saúde;Região de Saúde_2;município;Janeiro;Janeiro_4;Janeiro_5;Fevereiro;Fevereiro_6;Fevereiro_7;Março;Março_8;Março_9;Abril;Abril_10;Abril_11;Maio;Maio_12;Maio_13;Junho;Junho_14;Junho_15;Julho;Julho_16;Julho_17;Agosto;Agosto_18;Agosto_19;Setembro;Setembro_20;Setembro_21;Outubro;Outubro_22;Outubro_23;Novembro;Novembro_24;Novembro_25;Dezembro;Dezembro_26;Dezembro_27
;;;;;;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;350280 Araçatuba;523;29;0;1478;84;4;1729;96;0;1994;182;2;1897;338;2;1435;292;1;1169;168;1;1139;112;0;1160;72;0;1277;119;1;1523;294;1;3931;1259;2
16;SOROCABA;31;SOROCABA;35163;SOROCABA;350290 Araçoiaba da Serra;49;11;0;114;34;1;294;121;2;637;292;1;1141;572;10;231;85;3;49;12;0;39;4;1;33;8;0;32;11;0;36;7;0;30;8;0
8;FRANCA;18;FRANCA;35083;ALTA MOGIANA;350300 Aramina;0;0;0;11;1;1;17;2;0;14;1;0;16;6;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;350310 Arandu;5;0;0;22;0;0;118;51;1;460;252;2;263;231;2;93;55;0;15;9;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350315 Arapeí;2;0;2;12;6;6;93;62;19;31;22;6;8;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;ARARAQUARA;12;ARARAQUARA;35031;CENTRAL DO DRS III;350320 Araraquara;442;57;8;1217;112;10;1493;297;12;1541;398;10;1350;438;5;919;259;3;379;79;1;205;33;1;243;48;0;279;56;0;343;107;0;446;135;3
10;PIRACICABA;20;PIRACICABA;35101;ARARAS;350330 Araras;93;18;7;376;67;9;631;245;16;717;352;12;1001;586;23;503;253;3;204;89;1;101;21;1;133;31;2;133;37;1;83;27;0;137;66;2
9;MARÍLIA;19;MARILIA;35095;TUPÃ;350335 Arco-Íris;2;2;0;2;2;0;3;1;1;16;5;0;13;9;1;6;1;0;2;1;0;1;0;0;1;0;0;1;1;0;6;5;0;0;0;0
6;BAURU;15;BAURU;35062;BAURU;350340 Arealva;47;24;1;114;55;0;160;99;1;226;109;1;128;71;0;50;10;0;8;3;1;3;3;0;7;0;0;5;0;0;6;1;0;7;0;0
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350350 Areias;13;4;4;24;4;0;45;13;0;174;80;2;57;34;4;13;7;0;2;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;350360 Areiópolis;12;2;2;62;20;0;312;133;2;590;267;3;538;222;0;178;26;0;47;17;0;23;8;0;14;0;0;16;3;0;3;0;0;4;2;0
