DRS;DRS_1;GVE;_1;Região de Saúde;Região de Saúde_2;município;Janeiro;Janeiro_4;Janeiro_5;Fevereiro;Fevereiro_6;Fevereiro_7;Março;Março_8;Março_9;Abril;Abril_10;Abril_11;Maio;Maio_12;Maio_13;Junho;Junho_14;Junho_15;Julho;Julho_16;Julho_17;Agosto;Agosto_18;Agosto_19;Setembro;Setembro_20;Setembro_21;Outubro;Outubro_22;Outubro_23;Novembro;Novembro_24;Novembro_25;Dezembro;Dezembro_26;Dezembro_27
;;;;;;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;351710 Glicério;10;0;1;11;2;1;24;2;0;7;2;0;0;0;0;4;1;0;5;2;0;9;5;0;8;7;0;32;21;0;48;18;0;37;30;0
6;BAURU;15;BAURU;35065;LINS;351720 Guaiçara;27;5;1;67;9;0;65;10;0;70;22;0;55;33;0;29;11;0;14;5;0;7;0;1;16;8;0;91;59;0;135;82;0;192;119;0
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;351730 Guaimbê;19;7;1;20;7;0;22;5;0;27;9;0;20;5;0;20;5;0;7;1;0;2;1;0;5;1;0;11;2;0;11;2;0;11;0;0
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;351740 Guaíra;210;72;0;476;114;0;427;148;0;505;194;0;388;171;0;156;77;0;176;85;0;145;51;1;146;42;0;149;52;0;166;57;1;390;99;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;351750 Guapiaçu;95;23;0;202;29;3;227;59;2;237;89;1;390;205;3;248;118;7;110;59;0;87;24;2;89;22;2;89;17;2;111;44;2;244;69;4
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;351760 Guapiara;5;0;0;24;1;0;46;14;3;196;88;4;195;95;5;70;13;2;17;5;0;2;0;0;0;0;0;2;0;0;1;0;0;1;0;0
8;FRANCA;18;FRANCA;35083;ALTA MOGIANA;351770 Guará;24;11;0;282;80;0;89;22;0;23;8;0;16;2;0;2;2;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;351780 Guaraçaí;5;0;0;7;2;0;33;4;0;37;8;0;96;44;0;48;24;0;47;24;0;29;10;0;38;12;1;44;11;0;45;26;0;175;111;0
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;351790 Guaraci;21;4;0;73;26;2;90;49;2;86;52;1;151;118;1;56;37;2;26;16;1;20;12;1;12;6;1;5;3;0;16;13;0;10;4;0
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;351800 Guarani d'Oeste;2;0;0;5;2;0;16;6;0;14;12;0;36;31;0;18;14;0;14;8;0;4;2;1;7;6;0;12;9;0;36;15;0;54;6;1
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;351810 Guarantã;8;2;0;27;15;0;15;9;0;59;43;0;160;134;1;82;68;1;20;18;0;8;6;0;7;3;0;1;0;0;1;0;0;1;1;0
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;351820 Guararapes;123;46;0;397;161;0;640;387;3;715;398;4;744;474;1;377;178;0;160;83;0;120;46;0;95;20;0;133;41;0;117;20;0;184;81;0
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;351830 Guararema;306;69;1;779;148;0;1484;379;1;1525;276;1;1115;170;1;341;29;0;107;11;0;49;4;0;79;7;0;106;2;1;115;5;0;75;5;0
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;351840 Guaratinguetá;852;469;1;3056;1396;0;3119;2354;2;3062;2019;0;1563;907;0;356;143;0;123;37;0;62;12;0;74;22;0;52;6;0;79;10;0;51;3;0
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;351850 Guareí;8;6;0;40;19;0;128;89;5;340;257;0;271;189;0;46;27;0;2;1;0;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;351860 Guariba;35;8;0;144;52;0;194;122;2;211;172;0;300;274;0;107;94;1;64;48;3;8;4;0;7;2;0;14;3;0;9;4;0;14;5;0
4;BAIXADA SANTISTA;25;SANTOS;35041;BAIXADA SANTISTA;351870 Guarujá;322;191;0;2372;1480;0;3128;2207;27;3322;2427;21;2257;1635;15;728;453;4;126;76;2;51;14;1;38;12;0;45;8;0;69;16;1;36;10;1
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;351880 Guarulhos;2.516;1.877;50;9924;7915;42;22827;19270;106;31609;27089;159;22385;18957;96;5503;4299;24;1147;675;2;875;158;0;657;94;0;519;21;1;481;21;2;322;36;3
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35132;AQUÍFERO GUARANI;351885 Guatapará;7;1;0;54;6;0;53;9;0;47;15;0;27;15;0;13;4;0;7;1;0;5;0;0;6;0;0;2;1;0;4;0;0;11;0;0
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;351890 Guzolândia;4;0;0;3;0;0;3;1;0;8;4;1;10;8;0;9;6;0;4;3;0;12;7;0;29;27;0;33;32;1;20;15;0;81;71;0
9;MARÍLIA;19;MARILIA;35095;TUPÃ;351900 Herculândia;18;6;3;69;17;0;38;21;0;34;20;0;39;20;0;15;9;0;0;0;0;1;0;0;3;0;0;0;0;0;8;0;0;0;0;0
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;351905 Holambra;69;17;1;210;77;5;388;282;10;414;372;8;453;411;5;117;83;12;29;19;1;8;4;0;6;4;0;9;7;0;16;9;0;8;7;0
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;351907 Hortolândia;346;96;1;1304;487;5;2597;945;7;3388;1162;18;4118;1507;50;1589;504;8;417;112;3;274;56;0;259;36;0;109;19;0;148;51;1;158;33;0
6;BAURU;15;BAURU;35062;BAURU;351910 Iacanga;17;8;2;59;37;0;190;93;1;246;130;0;325;238;6;194;84;2;34;11;0;13;6;0;15;1;0;18;5;0;22;3;0;20;9;1
9;MARÍLIA;19;MARILIA;35095;TUPÃ;351920 Iacri;13;9;0;79;36;0;52;20;0;42;7;0;22;6;0;11;2;0;3;0;0;8;1;0;5;0;0;9;5;0;28;24;0;18;10;0
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;351925 Iaras;1;1;0;29;7;0;20;4;3;12;7;0;49;28;1;9;3;0;6;2;0;8;2;0;11;1;0;4;2;0;4;0;0;10;6;0
3;ARARAQUARA;12;ARARAQUARA;35032;CORAÇÃO DO DRS III;351930 Ibaté;26;3;0;130;29;0;163;63;1;448;202;2;826;325;5;342;125;1;90;26;0;67;11;0;45;8;0;40;8;0;31;8;0;26;3;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;351940 Ibirá;18;3;0;51;10;0;43;7;0;80;19;0;192;108;0;102;49;0;45;18;0;39;18;0;49;16;0;76;31;0;149;71;0;419;156;0
9;MARÍLIA;13;ASSIS;35094;OURINHOS;351950 Ibirarema;10;0;1;56;14;1;144;73;0;161;120;0;270;211;0;97;74;1;17;15;0;6;6;0;1;1;0;2;0;0;2;0;0;1;0;0
3;ARARAQUARA;12;ARARAQUARA;35033;NOROESTE DRS III;351960 Ibitinga;56;8;1;203;41;0;292;113;0;552;258;0;1030;548;0;540;308;0;262;196;4;108;47;0;89;30;0;67;28;0;166;67;0;471;222;0
16;SOROCABA;31;SOROCABA;35163;SOROCABA;351970 Ibiúna;27;1;3;205;57;3;640;149;4;1144;449;2;1683;792;2;898;242;1;306;37;0;175;25;0;156;11;0;97;17;0;87;5;0;68;1;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;351980 Icém;46;19;0;15;3;0;12;1;0;12;2;0;7;0;0;5;1;0;2;0;0;8;2;0;7;3;0;0;0;0;6;1;0;8;4;0
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35113;ALTO CAPIVARI;351990 Iepê;13;3;0;85;1;0;17;0;0;17;3;0;42;24;0;57;8;0;32;2;0;21;3;0;11;0;0;7;0;0;22;2;0;21;1;0
6;BAURU;15;BAURU;35064;JAU;352000 Igaraçu do Tietê;42;2;6;131;32;7;346;144;26;669;420;27;996;682;42;368;198;16;84;32;1;44;13;0;29;1;0;18;0;0;9;0;0;9;0;0
8;FRANCA;18;FRANCA;35083;ALTA MOGIANA;352010 Igarapava;17;1;0;163;27;0;39;6;0;138;11;0;70;6;0;80;7;0;15;0;0;19;0;0;3;0;0;2;0;0;2;0;0;1;0;0
17;TAUBATÉ;27;SAO JOSE DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;352020 Igaratá;8;0;2;85;28;4;178;128;5;229;160;6;188;144;0;82;33;2;4;3;0;4;0;0;3;0;0;7;0;0;4;0;0;4;0;0
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;352030 Iguape;174;155;0;1041;612;0;1975;990;0;1195;511;2;459;122;1;114;9;1;5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
17;TAUBATÉ;28;CARAGUATATUBA;35173;LITORAL NORTE;352040 Ilhabela;317;75;1;1395;351;8;2353;902;14;3278;1198;10;2000;994;5;892;338;0;395;83;3;223;26;0;229;31;0;299;40;0;346;41;1;317;15;0
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;352042 Ilha Comprida;40;23;0;165;84;0;351;218;2;495;305;1;274;216;0;49;31;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;352044 Ilha Solteira;17;2;0;38;8;0;43;6;0;36;6;1;55;10;1;37;5;0;21;4;0;14;0;0;9;2;0;11;1;0;26;4;0;67;14;0
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;352050 Indaiatuba;263;81;29;1311;463;32;1906;1112;29;2721;1880;23;2553;1909;41;704;487;11;212;180;10;111;88;4;122;76;0;73;39;1;97;71;0;181;131;8
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;352060 Indiana;11;0;1;38;6;1;19;5;0;20;3;0;13;3;0;5;1;0;2;0;0;4;0;0;2;0;0;8;1;0;6;3;0;28;16;1
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;352070 Indiaporã;6;0;0;16;2;4;18;3;0;33;8;1;39;19;3;40;23;1;69;49;2;49;16;3;71;56;2;51;47;3;58;50;0;160;5;0
9;MARÍLIA;19;MARILIA;35091;ADAMANTINA ;352080 Inúbia Paulista;5;0;0;23;0;0;15;0;0;5;0;0;7;1;0;14;2;0;1;0;0;2;0;0;0;0;0;1;0;0;1;0;0;2;0;0
9;MARÍLIA;13;ASSIS;35094;OURINHOS;352090 Ipaussu;10;2;3;41;7;2;52;22;2;68;33;1;142;85;0;85;35;0;24;9;1;13;4;0;11;0;0;2;0;0;8;1;0;6;1;4
16;SOROCABA;31;SOROCABA;35163;SOROCABA;352100 Iperó;66;3;3;227;15;4;364;61;5;467;126;8;486;157;8;276;77;5;92;25;2;55;2;0;46;2;0;37;0;0;20;1;0;19;0;0
10;PIRACICABA;20;PIRACICABA;35104;RIO CLARO;352110 Ipeúna;10;0;1;88;29;0;220;144;0;494;299;1;526;381;0;147;94;0;31;20;0;15;6;0;11;4;0;17;1;0;5;2;0;17;6;1
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;352115 Ipiguá;32;4;0;52;5;0;30;2;0;36;15;0;74;39;0;35;9;0;26;8;0;15;5;0;7;3;0;17;2;0;19;6;0;37;15;0
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;352120 Iporanga;2;1;0;8;4;0;78;48;0;40;30;0;82;51;0;26;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;FRANCA;18;FRANCA;35082;ALTA ANHANGUERA;352130 Ipuã;14;0;0;27;3;0;74;5;0;107;13;0;86;7;0;38;5;2;21;4;0;3;0;0;11;1;0;9;1;0;8;0;0;58;2;0
10;PIRACICABA;20;PIRACICABA;35102;LIMEIRA;352140 Iracemápolis;58;25;2;208;84;5;571;270;1;714;314;2;510;281;4;168;72;1;45;15;0;29;0;0;15;1;0;14;1;0;10;1;0;19;0;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;352150 Irapuã;59;22;0;42;25;0;44;19;0;24;20;0;202;189;0;53;51;0;19;14;0;3;3;0;1;1;0;2;1;0;1;0;0;26;24;0
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;352160 Irapuru;16;7;0;35;9;0;32;5;0;28;4;0;23;5;0;17;0;0;9;0;0;4;1;0;11;2;0;26;3;0;22;3;0;13;5;0
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;352170 Itaberá;2;0;0;19;2;1;89;35;2;265;136;1;588;378;5;550;164;2;62;16;0;43;20;1;16;3;0;4;1;0;4;1;0;3;0;0
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;352180 Itaí;14;2;2;56;7;3;280;72;2;573;226;2;1166;640;3;1003;421;0;169;26;0;71;27;0;85;16;0;42;7;0;65;17;0;82;12;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;352190 Itajobi;35;8;0;140;17;2;236;70;6;252;120;2;195;150;0;89;59;0;21;17;0;20;7;0;24;8;0;26;3;1;15;2;0;33;15;0
6;BAURU;15;BAURU;35064;JAU;352200 Itaju;37;31;0;113;50;0;207;144;0;267;155;2;143;104;1;28;26;0;18;12;0;4;2;0;2;2;0;0;0;0;0;0;0;0;0;0
4;BAIXADA SANTISTA;25;SANTOS;35041;BAIXADA SANTISTA;352210 Itanhaém;82;39;0;411;187;3;1269;743;36;3954;2796;76;3221;2119;30;225;185;0;57;33;0;28;16;0;18;9;1;37;13;0;22;12;0;13;2;0
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;352215 Itaóca;0;0;0;0;0;0;4;0;1;10;1;1;10;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;352220 Itapecerica da Serra;64;18;1;672;164;3;2881;1223;3;5583;2354;21;2563;1249;8;498;140;0;116;17;0;41;6;0;35;3;0;30;2;0;25;0;0;29;1;0
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;352230 Itapetininga;664;152;7;1833;459;2;2528;1182;7;1598;1497;5;1418;994;18;1641;833;2;464;155;1;68;46;0;24;8;0;95;1;0;89;6;0;50;2;0
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;352240 Itapeva;33;2;1;221;55;2;908;318;3;1897;876;2;3136;1597;4;1421;428;0;416;65;0;180;20;0;79;6;0;50;0;0;44;2;0;53;1;0
1;GRANDE SÃO PAULO;10;OSASCO;35014;ROTA DOS BANDEIRANTES;352250 Itapevi;44;4;6;318;83;9;694;410;4;952;628;0;711;543;0;162;104;0;71;17;1;21;4;0;34;7;0;22;0;0;18;3;0;17;3;0
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35141;BAIXA MOGIANA;352260 Itapira;160;30;2;1114;576;4;3828;3303;3;4332;3856;6;2938;2492;3;807;416;1;165;55;0;101;12;0;213;19;0;140;4;0;93;11;0;37;20;1
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;352265 Itapirapuã Paulista;0;0;0;0;0;0;1;0;0;10;7;3;18;10;6;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;ARARAQUARA;12;ARARAQUARA;35033;NOROESTE DRS III;352270 Itápolis;61;15;1;123;16;0;164;31;1;139;39;1;132;36;1;72;16;1;36;7;0;20;1;0;54;5;0;23;1;0;32;10;0;72;20;0
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;352280 Itaporanga;7;0;1;35;2;6;92;24;4;230;150;2;554;405;7;162;101;1;63;33;3;15;7;0;3;0;0;2;0;0;5;1;0;2;0;0
6;BAURU;15;BAURU;35064;JAU;352290 Itapuí;22;1;1;117;9;2;305;86;4;432;192;0;428;255;3;151;81;2;53;23;0;17;0;0;16;0;0;8;0;0;8;0;0;16;0;0
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;352300 Itapura;2;1;0;20;5;0;10;6;0;5;2;0;10;3;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;352310 Itaquaquecetuba;432;215;8;1766;657;19;2894;1534;22;2961;1776;39;2282;1531;22;561;360;6;137;68;0;81;16;0;66;16;0;64;23;2;49;10;0;23;3;0
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;352320 Itararé;5;3;0;45;32;5;195;182;1;692;675;0;585;563;2;159;149;0;41;30;0;13;10;0;2;1;0;3;3;0;6;3;0;3;3;0
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;352330 Itariri;3;1;0;19;0;0;10;0;0;68;1;0;21;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;352340 Itatiba;444;266;38;1266;683;48;2772;1653;159;3256;1902;212;1837;971;105;437;124;13;85;22;0;58;12;0;45;2;1;47;5;1;30;0;0;15;1;0
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;352350 Itatinga;7;1;1;52;9;4;104;24;21;199;53;41;278;90;32;65;14;3;14;3;0;10;1;0;19;4;0;26;15;0;40;15;0;21;3;0
10;PIRACICABA;20;PIRACICABA;35104;RIO CLARO;352360 Itirapina;16;1;2;79;27;1;231;149;2;595;410;2;544;429;0;219;195;0;26;13;0;29;14;0;9;5;0;5;1;0;6;0;0;7;0;0
8;FRANCA;18;FRANCA;35081;TRÊS COLINAS;352370 Itirapuã;10;5;0;61;29;1;137;60;2;78;28;8;12;4;3;8;3;0;1;1;0;0;0;0;0;0;0;1;0;0;3;0;0;2;1;0
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35143;RIO PARDO;352380 Itobi;9;1;1;22;12;1;147;55;1;125;50;1;117;53;0;36;1;0;5;2;0;0;0;0;2;0;0;4;1;0;6;1;0;2;1;0
16;SOROCABA;31;SOROCABA;35163;SOROCABA;352390 Itu;1.678;858;0;4395;1907;0;7161;3718;0;7338;3878;0;4784;2501;0;1795;612;0;478;85;0;332;49;0;382;44;0;241;31;0;279;35;0;286;40;0
7;CAMPINAS;17;CAMPINAS;35073;JUNDIAÍ;352400 Itupeva;19;10;1;74;38;0;169;109;1;373;260;4;335;262;2;81;46;0;14;4;0;13;0;0;20;3;0;13;3;0;13;1;0;10;0;0
8;FRANCA;18;FRANCA;35083;ALTA MOGIANA;352410 Ituverava;40;3;5;52;7;10;51;4;5;35;10;0;21;11;0;18;5;0;8;1;0;3;1;0;4;0;0;2;0;0;0;0;0;2;1;0
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;352420 Jaborandi;10;6;0;59;27;2;56;35;1;39;36;0;10;9;0;7;7;0;2;0;0;1;0;0;1;1;0;2;1;0;1;0;0;1;0;0
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;352430 Jaboticabal;89;37;0;501;234;0;412;260;0;212;166;1;234;208;0;95;91;0;48;43;0;32;30;0;36;24;0;57;40;0;184;121;0;625;481;2
17;TAUBATÉ;27;SAO JOSE DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;352440 Jacareí;4.942;2.878;0;12191;7005;0;18904;11078;7;13711;7884;309;6890;3591;243;1741;566;37;536;148;9;317;72;5;465;44;0;424;45;0;450;24;0;424;13;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;352450 Jaci;9;4;0;36;4;1;36;3;0;62;7;0;83;40;0;44;16;0;19;10;0;32;14;0;59;20;0;18;10;0;50;14;0;68;6;1
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;352460 Jacupiranga;0;0;0;71;10;0;136;38;0;60;15;2;50;13;1;6;4;0;2;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;352470 Jaguariúna;364;113;1;1047;781;27;2611;2050;119;3204;2494;207;2310;1705;99;1075;738;33;337;225;5;212;119;2;213;113;2;156;55;0;279;163;4;366;182;3
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;352480 Jales;59;9;1;197;31;0;338;70;0;364;117;2;449;232;1;314;137;2;181;71;0;96;31;0;93;39;0;81;23;0;125;31;0;406;143;0
17;TAUBATÉ;27;SAO JOSE DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;352490 Jambeiro;19;1;3;54;5;2;186;74;12;208;96;0;125;59;0;48;16;0;18;11;0;3;1;0;3;0;1;4;2;0;8;1;0;4;0;0
1;GRANDE SÃO PAULO;10;OSASCO;35014;ROTA DOS BANDEIRANTES;352500 Jandira;45;5;1;169;29;1;242;61;0;446;149;2;489;185;1;211;71;1;39;7;0;14;2;1;10;1;0;17;2;0;7;0;0;10;0;0
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35132;AQUÍFERO GUARANI;352510 Jardinópolis;509;141;1;767;247;1;1503;760;0;1269;617;0;924;440;2;412;191;0;37;10;0;19;4;0;26;2;0;20;2;0;22;4;0;17;4;0
7;CAMPINAS;17;CAMPINAS;35073;JUNDIAÍ;352520 Jarinu;29;9;2;132;54;5;462;316;4;811;634;6;616;506;1;229;165;1;73;65;1;6;5;0;31;26;0;27;10;0;21;14;1;9;2;0
6;BAURU;15;BAURU;35064;JAU;352530 Jaú;456;127;0;1442;494;6;4019;1870;14;5717;3164;12;5022;3451;8;1214;291;0;238;40;0;105;16;0;58;10;0;60;11;0;60;8;0;76;2;0
8;FRANCA;18;FRANCA;35081;TRÊS COLINAS;352540 Jeriquara;8;3;0;56;49;1;79;74;1;90;79;1;33;27;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;352550 Joanópolis;27;8;0;183;43;0;326;154;0;628;421;14;892;755;4;376;289;1;166;53;1;35;0;0;24;3;0;19;0;0;25;2;0;11;1;0
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35113;ALTO CAPIVARI;352560 João Ramalho;2;0;1;34;0;2;20;0;0;24;0;0;41;1;1;12;1;0;8;0;1;2;0;0;5;0;0;1;0;0;2;0;0;0;0;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;352570 José Bonifácio;35;9;0;111;8;0;177;22;0;139;41;0;201;94;0;188;79;1;129;66;0;130;61;0;148;69;0;234;107;0;503;214;1;734;436;11
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;352580 Júlio Mesquita;5;1;0;23;5;0;26;9;0;21;13;0;11;5;0;6;2;0;1;0;0;1;0;0;0;0;0;0;0;0;8;2;0;12;6;0
16;SOROCABA;31;SOROCABA;35163;SOROCABA;352585 Jumirim;3;0;1;14;0;0;18;0;3;33;2;4;47;1;12;14;1;0;1;0;0;5;0;0;2;0;0;0;0;0;1;0;0;1;0;0
7;CAMPINAS;17;CAMPINAS;35073;JUNDIAÍ;352590 Jundiaí;483;389;60;1637;1449;60;5159;4796;103;7969;7348;248;5968;5740;19;1069;1008;21;209;180;1;61;15;0;98;29;0;19;9;0;30;3;0;5;1;0
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;352600 Junqueirópolis;12;1;1;26;6;0;29;9;0;22;10;0;13;7;0;5;1;1;13;1;0;6;0;0;2;0;0;4;1;0;16;3;0;13;2;0
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;352610 Juquiá;7;1;0;63;8;0;85;35;0;122;39;0;80;13;1;31;1;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;352620 Juquitiba;7;5;2;45;28;0;120;81;0;247;201;2;254;236;1;40;33;0;11;9;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
17;TAUBATÉ;33;TAUBATE;35174;V. PARAÍBA-REG. SERRANA;352630 Lagoinha;2;0;0;23;7;10;225;70;19;312;80;3;303;106;6;155;22;0;38;2;0;22;1;0;11;1;0;2;0;0;15;1;0;20;0;0
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;352640 Laranjal Paulista;18;2;3;46;8;2;41;24;0;94;77;2;189;182;0;78;72;0;28;27;0;5;4;0;6;6;0;2;1;0;3;3;0;16;16;0
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;352650 Lavínia;6;0;0;29;2;0;24;3;0;37;6;0;28;18;0;103;68;0;69;42;0;50;11;0;14;6;0;15;1;0;8;0;0;10;1;2
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;352660 Lavrinhas;10;2;0;80;25;0;154;53;0;149;64;1;61;35;1;12;9;0;5;1;0;5;0;0;1;0;0;2;0;0;2;0;0;0;0;0
10;PIRACICABA;20;PIRACICABA;35101;ARARAS;352670 Leme;113;70;1;594;315;0;1550;905;1;1273;1177;0;1410;1091;0;371;235;0;97;65;0;27;3;0;12;4;0;22;15;0;82;54;0;289;186;0
6;BAURU;15;BAURU;35062;BAURU;352680 Lençóis Paulista;183;57;5;521;118;7;1076;447;12;1169;683;8;941;846;13;460;407;6;93;78;0;46;23;3;28;11;1;23;8;1;20;8;0;32;11;0
10;PIRACICABA;20;PIRACICABA;35102;LIMEIRA;352690 Limeira;951;265;3;3127;623;4;6195;1602;23;8308;2359;39;9843;2979;23;4443;897;12;1221;232;1;171;56;1;129;20;0;112;20;0;66;13;0;109;18;0
7;CAMPINAS;17;CAMPINAS;35074;CIRCUITO DAS AGUAS;352700 Lindóia;6;0;0;51;4;1;96;17;20;156;48;14;48;24;0;24;11;1;3;1;0;4;0;0;3;0;0;2;0;0;3;0;1;3;0;0
6;BAURU;15;BAURU;35065;LINS;352710 Lins;139;18;0;233;23;0;194;21;0;203;33;1;222;111;0;133;55;1;65;15;0;94;17;0;77;26;0;109;42;0;163;75;0;396;166;0
